gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
4876300936				http://creativecommons.org/licenses/by/4.0/	2023-03-20			Meise Botanic Garden		http://biocol.org/urn:lsid:biocol.org:col:15605	gbif:ih:irn:124997		MeiseBG	BR	Meise Botanic Garden Herbarium		PreservedSpecimen				http://www.botanicalcollections.be/specimen/BR0000027525951V	BR0000027525951V	125607036	Groom Q. & Meeus S.																HerbariumSheet																							2022-07-10				2022	07	10																Montserrat	MS				Saint Peter, Dick Hill													16.770888	-62.189524																																																						Cyperus brevifolius (Rottb.) Endl. ex Hassk.								Plantae	Tracheophyta	Liliopsida	Poales		Cyperaceae				Cyperus				brevifolius							ICBN	accepted name		
4876284841				http://creativecommons.org/licenses/by/4.0/	2023-03-21			Meise Botanic Garden		http://biocol.org/urn:lsid:biocol.org:col:15605	gbif:ih:irn:124997		MeiseBG	BR	Meise Botanic Garden Herbarium		PreservedSpecimen				http://www.botanicalcollections.be/specimen/BR0000026554150V	BR0000026554150V	125638193	Groom Q. & Meeus S.																HerbariumSheet																							2022-07-10				2022	07	10																Montserrat	MS				Saint Peter, Dick Hill												Country: Montserrat	16.774538	-62.189702																																																						Rhynchospora nervosa Boeckeler								Plantae	Tracheophyta	Liliopsida	Poales		Cyperaceae				Rhynchospora				nervosa							ICBN	accepted name		
4607368012				http://creativecommons.org/licenses/by-nc/4.0/	2024-05-24T09:26:47Z		https://www.inaturalist.org/observations/205117977	slauren					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/205117977	205117977		slauren																																							2024-04-02T13:44:05-04:00	13:44:05-04:00						2024-04-02 13:44:05-04:00																MS	Saint Peter				Montserrat, Saint Peters, MS												16.7819487483	-62.2075170754	EPSG:4326	14																																		466098076				slauren		2024-04-02T17:45:09Z				77987								Melinis repens								Plantae	Tracheophyta	Liliopsida	Poales		Poaceae				Melinis							species							
4536015362				http://creativecommons.org/publicdomain/zero/1.0/	2024-04-26T16:57:26Z		https://www.inaturalist.org/observations/201027093	monkeyjodey					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/201027093	201027093		monkeyjodey																																							2024-03-02T11:12:21-04:00	11:12:21-04:00						2024-03-02 11:12:21-04:00																MS	Saint Peter				Saint Peter, MS												16.8113590172	-62.1922384389	EPSG:4326	4																																		456221524				monkeyjodey		2024-03-02T17:47:53Z				77987								Melinis repens								Plantae	Tracheophyta	Liliopsida	Poales		Poaceae				Melinis							species							
4536000017				http://creativecommons.org/publicdomain/zero/1.0/	2024-04-26T16:57:26Z		https://www.inaturalist.org/observations/201254872	monkeyjodey					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/201254872	201254872		monkeyjodey																																							2024-03-03T09:41:51-04:00	09:41:51-04:00						2024-03-03 09:41:51-04:00																MS	Saint Anthon				Saint Anthon, MS												16.7315418413	-62.2134208494	EPSG:4326	3																																		456787062				monkeyjodey		2024-03-04T13:31:28Z				77987								Melinis repens								Plantae	Tracheophyta	Liliopsida	Poales		Poaceae				Melinis							species							
4535936565				http://creativecommons.org/publicdomain/zero/1.0/	2024-04-26T16:57:26Z		https://www.inaturalist.org/observations/200765547	monkeyjodey					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/200765547	200765547		monkeyjodey																																							2024-02-28T17:19:50-04:00	17:19:50-04:00						2024-02-28 17:19:50-04:00																MS	Saint Peter				Saint Peter, MS												16.762743895	-62.2138984502	EPSG:4326	5																																		457324733				Quentin Groom	https://orcid.org/0000-0002-0596-5376	2024-03-06T09:36:30Z				122530								Bambusa vulgaris								Plantae	Tracheophyta	Liliopsida	Poales		Poaceae				Bambusa							species							
4535900789				http://creativecommons.org/publicdomain/zero/1.0/	2024-04-26T16:57:26Z		https://www.inaturalist.org/observations/200871367	monkeyjodey					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/200871367	200871367		monkeyjodey																																							2024-02-29T10:17:41-04:00	10:17:41-04:00						2024-02-29 10:17:41-04:00																MS	Saint Peter				Saint Peter, MS												16.7747775838	-62.2143323813	EPSG:4326	3																																		455744515				monkeyjodey		2024-03-01T02:25:39Z				77987								Melinis repens								Plantae	Tracheophyta	Liliopsida	Poales		Poaceae				Melinis							species							
4535865670				http://creativecommons.org/publicdomain/zero/1.0/	2024-04-26T16:57:26Z		https://www.inaturalist.org/observations/147162637	monkeyjodey					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/147162637	147162637		monkeyjodey																																							2023-01-22T06:58:15-04:00	06:58:15-04:00						2023-01-22 06:58:15-04:00																MS	Saint Peter				Saint Peter, MS												16.7751249299	-62.2051583883	EPSG:4326	3																																		329021252				monkeyjodey		2023-01-23T02:03:30Z				274117								Rhynchospora nervosa								Plantae	Tracheophyta	Liliopsida	Poales		Cyperaceae				Rhynchospora							species							
4535850595				http://creativecommons.org/publicdomain/zero/1.0/	2024-03-06T14:41:36Z		https://www.inaturalist.org/observations/125638193	Sofie Meeus					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/125638193	125638193		Sofie Meeus	https://orcid.org/0000-0003-0715-8647																																						2022-07-10T06:18:43-04:00	06:18:43-04:00						2022-07-10 06:18:43																MS	Saint Peter				Saint Peter, MS												16.77454083	-62.18970541	EPSG:4326	8																																		277846584				Sofie Meeus	https://orcid.org/0000-0003-0715-8647	2022-07-10T18:02:12Z				274117								Rhynchospora nervosa								Plantae	Tracheophyta	Liliopsida	Poales		Cyperaceae				Rhynchospora							species							
4535729445				http://creativecommons.org/publicdomain/zero/1.0/	2024-04-26T16:57:26Z		https://www.inaturalist.org/observations/201026607	monkeyjodey					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/201026607	201026607		monkeyjodey							fruiting																																2024-03-02T10:27:08-04:00	10:27:08-04:00						2024-03-02 10:27:08-04:00																MS	Saint Peter				Saint Peter, MS												16.8115621945	-62.1917910129	EPSG:4326	4																																		456220229				monkeyjodey		2024-03-02T17:43:02Z				76205								Cenchrus echinatus								Plantae	Tracheophyta	Liliopsida	Poales		Poaceae				Cenchrus							species							
